横坐标(米),纵坐标(米),角度代价,GDOP(米每弧度),第二次检测耗时(秒),条件接收采样覆盖率,1000米采样覆盖率,离散源采样最坏一阶误差(米),统计位置RMS(米),是否折中点
662.0201738464647,-331.25411608053514,0.874268817139074,3936.9088829882458,153.05404418657398,1.0,0.8408826945412311,93.50479148454036,39.67090460562292,0
671.0832517168312,-327.0279334631282,0.8723099777232008,3896.5773945068668,154.30505684671232,1.0,0.8478513356562137,92.46282950462604,39.26449778247767,0
680.1463295871977,-322.8017508457212,0.8703069819658127,3856.5727365808493,155.57224179774968,1.0,0.8536585365853658,91.42819243928457,38.8613843207409,0
689.2094074575641,-318.5755682283142,0.8682585865605981,3816.894558008064,156.8551941818257,1.0,0.859465737514518,90.40089058381054,38.46156068146707,0
698.2724853279307,-314.34938561090723,0.8661635082771977,3777.542524461326,158.15351775261317,1.0,0.8664343786295006,89.38093464072006,38.065023495753756,0
707.3355631982972,-310.1232029935002,0.8640204226291041,3738.516319346391,159.46682491719702,1.0,0.8734030197444832,88.36833572975424,37.6717695733874,0
716.3986410686637,-305.8970203760932,0.8618279625030791,3699.815644692074,160.79473675320358,1.0,0.8792102206736353,87.36310539805767,37.28179591181276,0
770.7771082908625,-280.53992467165125,0.8475540451550081,3475.803078471256,169.048773235279,1.0,0.9186991869918699,81.48716670681685,35.024496744080565,0
779.8401861612292,-276.31374205424424,0.8449737982049583,3439.8803912379676,170.46903033498444,1.0,0.9256678281068524,80.53387786467562,34.66251592593988,0
788.9032640315957,-272.0875594368373,0.8423315281261222,3404.2428675671126,171.90116836020053,1.0,0.9314750290360047,79.5880666394538,34.30340860495611,0
797.9663419019621,-267.8613768194303,0.8396254161667991,3368.890867842212,173.34488409215172,1.0,0.9384436701509872,78.64974890824993,33.9471784125926,0
807.0294197723285,-263.6351942020233,0.836853585165085,3333.8247832637744,174.799882214329,1.0,0.9454123112659698,77.71894108516072,33.59382929084508,0
816.0924976426952,-259.4090115846163,0.8340140977815774,3299.045037453719,176.26587517658035,1.0,0.9512195121951219,76.79566013272465,33.24336550840893,0
825.1555755130616,-255.18282896720928,0.8311049547048931,3264.552088121376,177.74258305351347,1.0,0.9581881533101045,75.88154162070761,32.895791677466896,0
834.2186533834281,-250.95664634980227,0.8281240928330464,3230.346428792445,179.22973339817744,1.0,0.9651567944250871,74.97812618625154,32.551112771111185,0
843.2817312537945,-246.73046373239532,0.8250693834342463,3196.4285906023197,180.72706109191034,1.0,0.9709639953542393,74.08141144152403,32.20933414141425,0
852.3448091241612,-242.50428111498832,0.8219386302912429,3162.7991441550375,182.2343081911626,1.0,0.9779326364692218,73.19143058182517,31.870461538160754,0
861.4078869945276,-238.2780984975813,0.8187295678339592,3129.4587014490967,183.75122377203462,1.0,0.9849012775842044,72.30821757749108,31.534501128253407,0
870.4709648648941,-234.0519158801743,0.8154398592658406,3096.407917871215,185.27756377319946,1.0,0.9907084785133565,71.4318071936422,31.20145951580338,0
879.5340427352605,-229.8257332627673,0.8120670946901024,3063.647494259024,186.81309083781616,1.0,0.9965156794425087,70.5622350101202,30.871343762915405,0
888.5971206056272,-225.5995506453603,0.8086087892428734,3031.1781790335576,188.35757415498276,1.0,1.0,69.69953744157466,30.54416141117612,0
897.6601984759936,-221.37336802795335,0.8050623812411449,2999.0007704021637,189.91078930121952,1.0,1.0,68.84375175765675,30.21992050385208,0
906.7232763463601,-217.14718541054634,0.8014252303544042,2967.116118632363,191.47251808242413,1.0,1.0,67.99491610327063,29.89862960880267,0
915.7863542167265,-212.92100279313934,0.7976946158099207,2935.5251283968973,193.0425483766905,1.0,1.0,67.15306951882738,29.580297842110355,0
924.8494320870932,-208.69482017573233,0.7997120233239999,2904.228761190005,194.62067397834025,1.0,1.0,66.31825196043958,29.264934892428677,0
933.9125099574596,-204.46863755832533,0.80356912736286,2873.22803781465,196.2066944434739,1.0,1.0,65.4905043199871,28.952551046045233,0
942.9755878278261,-200.24245494091838,0.8073298744820802,2842.524040940148,197.8004149373128,1.0,1.0,64.67094915730401,28.643157212654003,0
952.0386656981925,-196.01627232351137,0.8109969892156745,2812.1179177292574,199.40164608356582,1.0,1.0,63.86301390027179,28.336764951827668,0
961.1017435685592,-191.79008970610437,0.8145731211505073,2782.01088253342,201.01020381602586,1.0,1.0,63.06296045522466,28.03338650017663,0
970.1648214389256,-187.56390708869736,0.8180608461912816,2752.2042196544235,202.62590923257,1.0,1.0,62.27081671722249,27.733034799177364,0
